total_items=34607 translated_items=33989 total_chars=202644 unique_chars=2022
 count  char  codepoint
     2  浊  U+6D4A
     2  浮  U+6D6E
     2  浸  U+6D78
     2  渊  U+6E0A
     2  漆  U+6F06
     2  漏  U+6F0F
     2  漠  U+6F20
     2  潮  U+6F6E
     2  煎  U+714E
     2  煽  U+717D
     2  牢  U+7262
     2  犬  U+72AC
     2  猛  U+731B
     2  琴  U+7434
     2  甩  U+7529
     2  电  U+7535
     2  画  U+753B
     2  疚  U+759A
     2  疤  U+75A4
     2  皮  U+76AE
     2  瞪  U+77AA
     2  矿  U+77FF
     2  码  U+7801
     2  碗  U+7897
     2  祝  U+795D
     2  祟  U+795F
     2  票  U+7968
     2  窗  U+7A97
     2  竹  U+7AF9
     2  笛  U+7B1B
     2  籘  U+7C58
     2  粉  U+7C89
     2  粒  U+7C92
     2  糖  U+7CD6
     2  紫  U+7D2B
     2  纵  U+7EB5
     2  纸  U+7EB8
     2  纺  U+7EBA
     2  组  U+7EC4
     2  绊  U+7ECA
     2  缓  U+7F13
     2  编  U+7F16
     2  罕  U+7F55
     2  罚  U+7F5A
     2  羁  U+7F81
     2  耗  U+8017
     2  聪  U+806A
     2  肮  U+80AE
     2  脉  U+8109
     2  脱  U+8131
     2  腐  U+8150
     2  腿  U+817F
     2  舌  U+820C
     2  舞  U+821E
     2  艰  U+8270
     2  艺  U+827A
     2  茬  U+832C
     2  薄  U+8584
     2  裕  U+88D5
     2  评  U+8BC4
     2  诡  U+8BE1
     2  诫  U+8BEB
     2  诱  U+8BF1
     2  谦  U+8C26
     2  赎  U+8D4E
     2  赞  U+8D5E
     2  跌  U+8DCC
     2  邪  U+90AA
     2  郑  U+90D1
     2  酥  U+9165
     2  针  U+9488
     2  钢  U+94A2
     2  锈  U+9508
     2  锋  U+950B
     2  锻  U+953B
     2  隙  U+9699
     2  障  U+969C
     2  雅  U+96C5
     2  雕  U+96D5
     2  雨  U+96E8
     2  震  U+9707
     2  青  U+9752
     2  革  U+9769
     2  颜  U+989C
     2  驭  U+9A6D
     2  驾  U+9A7E
     2  骤  U+9AA4
     2  ７  U+FF17
     3  .  U+002E
     3  ~  U+007E
     3  五  U+4E94
     3  伟  U+4F1F
     3  伫  U+4F2B
     3  估  U+4F30
     3  侧  U+4FA7
     3  偿  U+507F
     3  八  U+516B
     3  减  U+51CF
     3  列  U+5217
     3  割  U+5272
     3  勾  U+52FE
     3  十  U+5341
     3  博  U+535A
     3  占  U+5360
     3  双  U+53CC
     3  吐  U+5410
     3  吾  U+543E
     3  啪  U+556A
     3  喧  U+55A7
     3  嘁  U+5601
     3  嘲  U+5632
     3  噌  U+564C
     3  嚣  U+56A3
     3  圣  U+5723
     3  坑  U+5751
     3  培  U+57F9
     3  堆  U+5806
     3  夏  U+590F
     3  套  U+5957
